Date,Location,Temperature F Max,Temperature F Avg,Temperature F Min,Dew Point F Max,Dew Point F Avg,Dew Point F Min,Humidity % Max,Humidity % Avg,Humidity % Min,Wind Speed mph Max,Wind Speed mph Avg,Wind Speed mph Min,Pressure Hg Max,Pressure Hg Avg,Pressure Hg Min,Precipitation In
2017-12-22,Chicago,41.0,37.3,35.0,36.0,33.1,29.0,95.0,85.2,75.0,13.0,4.7,0.0,29.4,29.4,29.3,0.0
2017-12-23,Chicago,36.0,31.9,25.0,29.0,21.8,14.0,77.0,66.7,44.0,22.0,11.5,3.0,29.6,29.5,29.4,0.0
2017-12-24,Chicago,28.0,24.3,20.0,23.0,16.9,13.0,86.0,73.8,63.0,17.0,7.0,0.0,29.6,29.5,29.4,0.0
2017-12-25,Chicago,23.0,13.7,0.0,15.0,5.5,0.0,79.0,48.5,0.0,21.0,11.9,0.0,29.8,25.7,0.0,0.0
2017-12-26,Chicago,9.0,2.0,0.0,0.0,-3.9,-11.0,68.0,25.9,0.0,17.0,7.0,0.0,30.0,18.6,0.0,0.0
2017-12-27,Chicago,10.0,2.4,-2.0,-3.0,-8.2,-13.0,73.0,61.8,41.0,12.0,8.1,5.0,30.1,30.1,30.0,0.0
2017-12-28,Chicago,15.0,9.7,2.0,9.0,1.9,-5.0,79.0,70.7,53.0,8.0,3.9,0.0,30.1,29.9,29.1,0.0
2017-12-29,Chicago,17.0,14.6,10.0,12.0,8.2,5.0,86.0,76.5,62.0,14.0,6.9,0.0,29.7,29.7,29.6,0.0
2017-12-30,Chicago,16.0,9.0,0.0,12.0,-1.2,-11.0,82.0,61.2,0.0,23.0,12.1,5.0,29.8,29.7,29.5,0.0
2017-12-31,Chicago,16.0,6.6,2.0,0.0,-5.7,-11.0,66.0,57.9,45.0,15.0,10.1,5.0,30.0,29.9,29.8,0.0
2017-9-1,Chicago,70.0,61.8,55.0,48.0,44.8,37.0,67.0,54.5,38.0,18.0,11.0,5.0,29.6,29.5,29.5,0.0
2017-9-2,Chicago,72.0,57.9,43.0,59.0,47.5,39.0,100.0,71.9,35.0,12.0,4.1,0.0,29.5,29.4,29.3,0.0
2017-9-3,Chicago,82.0,65.2,52.0,63.0,54.4,46.0,94.0,73.1,28.0,12.0,2.1,0.0,29.4,29.3,29.3,0.0
